Plot Title: 20376534,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 20376534, SEN S/N: 20376534)",Coupler Detached (LGR S/N: 20376534),Coupler Attached (LGR S/N: 20376534),Host Connected (LGR S/N: 20376534),Stopped (LGR S/N: 20376534),End Of File (LGR S/N: 20376534)
117,06/29/18 08:36:31 PM,74.446,,,,,
118,06/29/18 10:36:31 PM,73.58,,,,,
119,06/30/18 12:36:31 AM,72.891,,,,,
120,06/30/18 02:36:31 AM,73.58,,,,,
121,06/30/18 04:36:31 AM,74.098,,,,,
122,06/30/18 06:36:31 AM,74.271,,,,,
123,06/30/18 08:36:31 AM,80.382,,,,,
124,06/30/18 10:36:31 AM,78.975,,,,,
125,06/30/18 12:36:31 PM,78.8,,,,,
126,06/30/18 02:36:31 PM,77.4,,,,,
127,06/30/18 04:36:31 PM,76.354,,,,,
128,06/30/18 06:36:31 PM,75.312,,,,,
129,06/30/18 08:36:31 PM,74.791,,,,,
130,06/30/18 10:36:31 PM,73.753,,,,,
131,2007/1/18 0:36,72.545,,,,,
132,2007/1/18 2:36,71.512,,,,,
133,2007/1/18 4:36,72.028,,,,,
134,2007/1/18 6:36,73.407,,,,,
135,2007/1/18 8:36,74.098,,,,,
136,2007/1/18 10:36,77.4,,,,,
137,2007/1/18 12:36,78.098,,,,,
138,2007/1/18 14:36,77.4,,,,,
139,2007/1/18 16:36,75.484,,,,,
140,2007/1/18 18:36,74.446,,,,,
141,2007/1/18 20:36,73.58,,,,,
142,2007/1/18 22:36,72.545,,,,,
143,2007/2/18 0:36,70.824,,,,,
144,2007/2/18 2:36,71.683,,,,,
145,2007/2/18 4:36,72.891,,,,,
146,2007/2/18 6:36,73.407,,,,,
147,2007/2/18 8:36,71.683,,,,,
148,2007/2/18 10:36,87.004,,,,,
149,2007/2/18 12:36,91.24,,,,,
150,2007/2/18 14:36,94.062,,,,,
151,2007/2/18 16:36,93.682,,,,,
152,2007/2/18 18:36,89.938,,,,,
153,2007/2/18 20:36,85.735,,,,,
154,2007/2/18 22:36,83.221,,,,,
155,2007/3/18 0:36,81.266,,,,,
156,2007/3/18 2:36,79.853,,,,,
157,2007/3/18 4:36,79.326,,,,,
158,2007/3/18 6:36,78.449,,,,,
159,2007/3/18 8:36,79.326,,,,,
160,2007/3/18 10:36,81.621,,,,,
161,2007/3/18 12:36,88.282,,,,,
162,2007/3/18 14:36,95.016,,,,,
163,2007/3/18 16:36,94.062,,,,,
164,2007/3/18 18:36,89.569,,,,,
165,2007/3/18 20:36,85.014,,,,,
166,2007/3/18 22:36,82.33,,,,,
167,2007/4/18 0:36,80.735,,,,,
168,2007/4/18 2:36,79.678,,,,,
169,2007/4/18 4:36,78.975,,,,,
170,2007/4/18 6:36,78.8,,,,,
171,2007/4/18 8:36,79.678,,,,,
172,2007/4/18 10:36,81.975,,,,,
173,2007/4/18 12:36,88.466,,,,,
174,2007/4/18 14:36,95.976,,,,,
175,2007/4/18 16:36,94.633,,,,,
176,2007/4/18 18:36,89.755,,,,,
177,2007/4/18 20:36,85.735,,,,,
178,2007/4/18 22:36,83.043,,,,,
179,2007/5/18 0:36,81.266,,,,,
180,2007/5/18 2:36,80.206,,,,,
181,2007/5/18 4:36,79.502,,,,,
182,2007/5/18 6:36,78.975,,,,,
183,2007/5/18 8:36,79.678,,,,,
184,2007/5/18 10:36,81.621,,,,,
185,2007/5/18 12:36,91.425,,,,,
186,2007/5/18 14:36,95.207,,,,,
187,2007/5/18 16:36,94.062,,,,,
188,2007/5/18 18:36,89.938,,,,,
189,2007/5/18 20:36,85.915,,,,,
190,2007/5/18 22:36,83.221,,,,,
191,2007/6/18 0:36,81.621,,,,,
192,2007/6/18 2:36,80.559,,,,,
193,2007/6/18 4:36,80.029,,,,,
194,2007/6/18 6:36,79.151,,,,,
195,2007/6/18 8:36,79.678,,,,,
196,2007/6/18 10:36,81.621,,,,,
197,2007/6/18 12:36,89.755,,,,,
198,2007/6/18 14:36,95.016,,,,,
199,2007/6/18 16:36,94.444,,,,,
200,2007/6/18 18:36,89.938,,,,,
201,2007/6/18 20:36,85.374,,,,,
202,2007/6/18 22:36,82.864,,,,,
203,2007/7/18 0:36,81.442,,,,,
204,2007/7/18 2:36,80.206,,,,,
205,2007/7/18 4:36,79.326,,,,,
