"Plot Title: 20376532"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376532, SEN S/N: 20376532)","Host Connected (LGR S/N: 20376532)","Coupler Detached (LGR S/N: 20376532)","Bad Battery (LGR S/N: 20376532)","Coupler Attached (LGR S/N: 20376532)","Stopped (LGR S/N: 20376532)","End Of File (LGR S/N: 20376532)"
112,06/29/19 12:57:09 PM,29.352,,,,,,
113,06/29/19 02:57:09 PM,30.457,,,,,,
114,06/29/19 04:57:09 PM,29.452,,,,,,
115,06/29/19 06:57:09 PM,27.764,,,,,,
116,06/29/19 08:57:09 PM,26.195,,,,,,
117,06/29/19 10:57:09 PM,24.738,,,,,,
118,06/30/19 12:57:09 AM,23.966,,,,,,
119,06/30/19 02:57:09 AM,23.388,,,,,,
120,06/30/19 04:57:09 AM,23.004,,,,,,
121,06/30/19 06:57:09 AM,22.717,,,,,,
122,06/30/19 08:57:09 AM,23.677,,,,,,
123,06/30/19 10:57:09 AM,27.173,,,,,,
124,06/30/19 12:57:09 PM,29.953,,,,,,
125,06/30/19 02:57:09 PM,30.659,,,,,,
126,06/30/19 04:57:09 PM,29.752,,,,,,
127,06/30/19 06:57:09 PM,28.258,,,,,,
128,06/30/19 08:57:09 PM,26.879,,,,,,
129,06/30/19 10:57:09 PM,26.000,,,,,,
130,07/01/19 12:57:09 AM,25.513,,,,,,
131,07/01/19 02:57:09 AM,25.028,,,,,,
132,07/01/19 04:57:09 AM,24.448,,,,,,
133,07/01/19 06:57:09 AM,24.062,,,,,,
134,07/01/19 08:57:09 AM,25.028,,,,,,
135,07/01/19 10:57:09 AM,27.862,,,,,,
136,07/01/19 12:57:09 PM,30.659,,,,,,
137,07/01/19 02:57:09 PM,29.452,,,,,,
138,07/01/19 04:57:09 PM,29.152,,,,,,
139,07/01/19 06:57:09 PM,28.258,,,,,,
140,07/01/19 08:57:09 PM,26.781,,,,,,
141,07/01/19 10:57:09 PM,25.513,,,,,,
142,07/02/19 12:57:09 AM,24.738,,,,,,
143,07/02/19 02:57:09 AM,24.158,,,,,,
144,07/02/19 04:57:09 AM,23.581,,,,,,
145,07/02/19 06:57:09 AM,23.292,,,,,,
146,07/02/19 08:57:09 AM,24.351,,,,,,
147,07/02/19 10:57:09 AM,27.567,,,,,,
148,07/02/19 12:57:09 PM,29.252,,,,,,
149,07/02/19 02:57:09 PM,30.255,,,,,,
150,07/02/19 04:57:09 PM,29.752,,,,,,
151,07/02/19 06:57:09 PM,28.159,,,,,,
152,07/02/19 08:57:09 PM,26.879,,,,,,
153,07/02/19 10:57:09 PM,25.805,,,,,,
154,07/03/19 12:57:09 AM,25.222,,,,,,
155,07/03/19 02:57:09 AM,24.835,,,,,,
156,07/03/19 04:57:09 AM,24.545,,,,,,
157,07/03/19 06:57:09 AM,24.255,,,,,,
158,07/03/19 08:57:09 AM,25.319,,,,,,
159,07/03/19 10:57:09 AM,28.357,,,,,,
160,07/03/19 12:57:09 PM,29.252,,,,,,
161,07/03/19 02:57:09 PM,28.060,,,,,,
162,07/03/19 04:57:09 PM,25.610,,,,,,
163,07/03/19 06:57:09 PM,26.195,,,,,,
164,07/03/19 08:57:09 PM,25.708,,,,,,
165,07/03/19 10:57:09 PM,24.931,,,,,,
166,07/04/19 12:57:09 AM,24.545,,,,,,
167,07/04/19 02:57:09 AM,24.158,,,,,,
168,07/04/19 04:57:09 AM,23.869,,,,,,
169,07/04/19 06:57:09 AM,23.581,,,,,,
170,07/04/19 08:57:09 AM,25.125,,,,,,
171,07/04/19 10:57:09 AM,27.272,,,,,,
172,07/04/19 12:57:09 PM,29.853,,,,,,
173,07/04/19 02:57:09 PM,30.963,,,,,,
174,07/04/19 04:57:09 PM,30.154,,,,,,
175,07/04/19 06:57:09 PM,27.961,,,,,,
176,07/04/19 08:57:09 PM,26.488,,,,,,
177,07/04/19 10:57:09 PM,25.805,,,,,,
178,07/05/19 12:57:09 AM,25.319,,,,,,
179,07/05/19 02:57:09 AM,25.028,,,,,,
180,07/05/19 04:57:09 AM,24.835,,,,,,
181,07/05/19 06:57:09 AM,24.835,,,,,,
182,07/05/19 08:57:09 AM,25.610,,,,,,
183,07/05/19 10:57:09 AM,26.781,,,,,,
184,07/05/19 12:57:09 PM,27.272,,,,,,
185,07/05/19 02:57:09 PM,25.319,,,,,,
186,07/05/19 04:57:09 PM,25.513,,,,,,
