"","record_type","site","startyear","TSF","TBF"
"155","landscape","CH",2020,0,10
"156","landscape","CH",2021,1,10
"157","landscape","CH",2022,2,10
"158","landscape","CH",2023,3,10
"159","landscape","CH",2024,4,10
"160","landscape","CH",2025,NA,NA
"161","landscape","IA",1986,NA,NA
"162","landscape","IA",1987,NA,NA
"163","landscape","IA",1988,NA,NA
"164","landscape","IA",1989,NA,NA
"165","landscape","IA",1990,NA,NA
"166","landscape","IA",1991,NA,NA
"167","landscape","IA",1992,NA,NA
"168","landscape","IA",1993,NA,NA
"169","landscape","IA",1994,NA,NA
"170","landscape","IA",1995,NA,NA
"171","landscape","IA",1996,NA,NA
"172","landscape","IA",1997,NA,NA
"173","landscape","IA",1998,NA,NA
"174","landscape","IA",1999,NA,NA
"175","landscape","IA",2000,NA,NA
"176","landscape","IA",2001,NA,NA
"177","landscape","IA",2002,NA,NA
"178","landscape","IA",2003,NA,NA
"179","landscape","IA",2004,NA,NA
"180","landscape","IA",2005,NA,NA
"181","landscape","IA",2006,NA,NA
"182","landscape","IA",2007,NA,NA
"183","landscape","IA",2008,NA,NA
"184","landscape","IA",2009,NA,NA
"185","landscape","IA",2010,NA,NA
"186","landscape","IA",2011,0,NA
"187","landscape","IA",2012,1,NA
"188","landscape","IA",2013,2,NA
"189","landscape","IA",2014,0,2
"190","landscape","IA",2015,1,2
"191","landscape","IA",2016,2,2
"192","landscape","IA",2017,3,2
"193","landscape","IA",2018,4,2
"194","landscape","IA",2019,0,4
"195","landscape","IA",2020,1,4
"196","landscape","IA",2021,2,4
"197","landscape","IA",2022,0,2
"198","landscape","IA",2023,1,2
"199","landscape","IA",2024,2,2
"200","landscape","IA",2025,NA,NA
"201","landscape","ME",1986,NA,NA
"202","landscape","ME",1987,NA,NA
"203","landscape","ME",1988,NA,NA
"204","landscape","ME",1989,NA,NA
"205","landscape","ME",1990,NA,NA
"206","landscape","ME",1991,NA,NA
"207","landscape","ME",1992,NA,NA
"208","landscape","ME",1993,NA,NA
"209","landscape","ME",1994,NA,NA
"210","landscape","ME",1995,NA,NA
"211","landscape","ME",1996,NA,NA
"212","landscape","ME",1997,NA,NA
"213","landscape","ME",1998,NA,NA
"214","landscape","ME",1999,NA,NA
"215","landscape","ME",2000,NA,NA
"216","landscape","ME",2001,NA,NA
"217","landscape","ME",2002,NA,NA
"218","landscape","ME",2003,NA,NA
"219","landscape","ME",2004,0,NA
"220","landscape","ME",2005,1,NA
"221","landscape","ME",2006,2,NA
"222","landscape","ME",2007,3,NA
"223","landscape","ME",2008,0,3
"224","landscape","ME",2009,1,3
"225","landscape","ME",2010,2,3
"226","landscape","ME",2011,3,3
"227","landscape","ME",2012,4,3
"228","landscape","ME",2013,5,3
"229","landscape","ME",2014,6,3
"230","landscape","ME",2015,7,3
"231","landscape","ME",2016,0,7
"232","landscape","ME",2017,1,7
"233","landscape","ME",2018,2,7
"234","landscape","ME",2019,0,2
"235","landscape","ME",2020,1,2
"236","landscape","ME",2021,2,2
"237","landscape","ME",2022,3,2
"238","landscape","ME",2023,4,2
"239","landscape","ME",2024,5,2
"240","landscape","ME",2025,NA,NA
"241","landscape","GSP-LI",1986,NA,NA
"242","landscape","GSP-LI",1987,NA,NA
"243","landscape","GSP-LI",1988,NA,NA
"244","landscape","GSP-LI",1989,NA,NA
"245","landscape","GSP-LI",1990,NA,NA
"246","landscape","GSP-LI",1991,NA,NA
"247","landscape","GSP-LI",1992,NA,NA
"248","landscape","GSP-LI",1993,NA,NA
"249","landscape","GSP-LI",1994,NA,NA
"250","landscape","GSP-LI",1995,NA,NA
"251","landscape","GSP-LI",1996,NA,NA
"252","landscape","GSP-LI",1997,NA,NA
"253","landscape","GSP-LI",1998,NA,NA
"254","landscape","GSP-LI",1999,NA,NA
"255","landscape","GSP-LI",2000,NA,NA
"256","landscape","GSP-LI",2001,NA,NA
"257","landscape","GSP-LI",2002,0,NA
"258","landscape","GSP-LI",2003,1,NA
"259","landscape","GSP-LI",2004,2,NA
"260","landscape","GSP-LI",2005,3,NA
"261","landscape","GSP-LI",2006,0,3
"262","landscape","GSP-LI",2007,1,3
"263","landscape","GSP-LI",2008,2,3
"264","landscape","GSP-LI",2009,0,2
"265","landscape","GSP-LI",2010,1,2
"266","landscape","GSP-LI",2011,2,2
"267","landscape","GSP-LI",2012,0,2
"268","landscape","GSP-LI",2013,1,2
"269","landscape","GSP-LI",2014,0,1
"270","landscape","GSP-LI",2015,1,1
"271","landscape","GSP-LI",2016,2,1
"272","landscape","GSP-LI",2017,0,2
"273","landscape","GSP-LI",2018,1,2
"274","landscape","GSP-LI",2019,0,1
"275","landscape","GSP-LI",2020,1,1
"276","landscape","GSP-LI",2021,2,1
"277","landscape","GSP-LI",2022,0,2
"278","landscape","GSP-LI",2023,1,2
"279","landscape","GSP-LI",2024,2,2
"280","landscape","GSP-LI",2025,NA,NA
"281","landscape","GSP-BI",1986,NA,NA
"282","landscape","GSP-BI",1987,NA,NA
"283","landscape","GSP-BI",1988,NA,NA
"284","landscape","GSP-BI",1989,NA,NA
"285","landscape","GSP-BI",1990,NA,NA
"286","landscape","GSP-BI",1991,NA,NA
"287","landscape","GSP-BI",1992,NA,NA
"288","landscape","GSP-BI",1993,NA,NA
"289","landscape","GSP-BI",1994,NA,NA
"290","landscape","GSP-BI",1995,NA,NA
"291","landscape","GSP-BI",1996,NA,NA
"292","landscape","GSP-BI",1997,NA,NA
"293","landscape","GSP-BI",1998,NA,NA
"294","landscape","GSP-BI",1999,NA,NA
"295","landscape","GSP-BI",2000,NA,NA
"296","landscape","GSP-BI",2001,NA,NA
"297","landscape","GSP-BI",2002,NA,NA
"298","landscape","GSP-BI",2003,NA,NA
"299","landscape","GSP-BI",2004,0,NA
"300","landscape","GSP-BI",2005,1,NA
"301","landscape","GSP-BI",2006,2,NA
"302","landscape","GSP-BI",2007,3,NA
"303","landscape","GSP-BI",2008,4,NA
"304","landscape","GSP-BI",2009,5,NA
"305","landscape","GSP-BI",2010,0,5
"306","landscape","GSP-BI",2011,0,0
"307","landscape","GSP-BI",2012,0,0
"308","landscape","GSP-BI",2013,1,0
"309","landscape","GSP-BI",2014,2,0
"310","landscape","GSP-BI",2015,0,2
"311","landscape","GSP-BI",2016,0,0
"312","landscape","GSP-BI",2017,1,0
"313","landscape","GSP-BI",2018,2,0
"314","landscape","GSP-BI",2019,3,0
"315","landscape","GSP-BI",2020,0,3
"316","landscape","GSP-BI",2021,1,3
"317","landscape","GSP-BI",2022,0,1
"318","landscape","GSP-BI",2023,1,1
"319","landscape","GSP-BI",2024,2,1
"320","landscape","GSP-BI",2025,NA,NA
