"","site","date","prec","date_parsed","month","day","year"
"93","ME","2015-04-03",0,2015-04-03,4,3,2015
"94","ME","2015-04-04",0.3051,2015-04-04,4,4,2015
"95","ME","2015-04-05",0,2015-04-05,4,5,2015
"96","ME","2015-04-06",0,2015-04-06,4,6,2015
"97","ME","2015-04-07",0,2015-04-07,4,7,2015
"98","ME","2015-04-08",1.4762,2015-04-08,4,8,2015
"99","ME","2015-04-09",9.6446,2015-04-09,4,9,2015
"100","ME","2015-04-10",0,2015-04-10,4,10,2015
"101","ME","2015-04-11",0.4035,2015-04-11,4,11,2015
"102","ME","2015-04-12",0,2015-04-12,4,12,2015
"103","ME","2015-04-13",0,2015-04-13,4,13,2015
"104","ME","2015-04-14",1.614,2015-04-14,4,14,2015
"105","ME","2015-04-15",2.175,2015-04-15,4,15,2015
"106","ME","2015-04-16",0,2015-04-16,4,16,2015
"107","ME","2015-04-17",7.9322,2015-04-17,4,17,2015
"108","ME","2015-04-18",24.5643,2015-04-18,4,18,2015
"109","ME","2015-04-19",13.2269,2015-04-19,4,19,2015
"110","ME","2015-04-20",0,2015-04-20,4,20,2015
"111","ME","2015-04-21",0,2015-04-21,4,21,2015
"112","ME","2015-04-22",0,2015-04-22,4,22,2015
"113","ME","2015-04-23",0,2015-04-23,4,23,2015
"114","ME","2015-04-24",0,2015-04-24,4,24,2015
"115","ME","2015-04-25",2.0175,2015-04-25,4,25,2015
"116","ME","2015-04-26",0.7775,2015-04-26,4,26,2015
"117","ME","2015-04-27",0,2015-04-27,4,27,2015
"118","ME","2015-04-28",0,2015-04-28,4,28,2015
"119","ME","2015-04-29",10.6091,2015-04-29,4,29,2015
"120","ME","2015-04-30",4.9207,2015-04-30,4,30,2015
"121","ME","2015-05-01",4.094,2015-05-01,5,1,2015
"122","ME","2015-05-02",0,2015-05-02,5,2,2015
"123","ME","2015-05-03",0,2015-05-03,5,3,2015
"124","ME","2015-05-04",0,2015-05-04,5,4,2015
"125","ME","2015-05-05",0,2015-05-05,5,5,2015
"126","ME","2015-05-06",0,2015-05-06,5,6,2015
"127","ME","2015-05-07",1.6435,2015-05-07,5,7,2015
"128","ME","2015-05-08",3.2378,2015-05-08,5,8,2015
"129","ME","2015-05-09",35.2422,2015-05-09,5,9,2015
"130","ME","2015-05-10",71.7638,2015-05-10,5,10,2015
"131","ME","2015-05-11",0.866,2015-05-11,5,11,2015
"132","ME","2015-05-12",0,2015-05-12,5,12,2015
"133","ME","2015-05-13",0,2015-05-13,5,13,2015
"134","ME","2015-05-14",0,2015-05-14,5,14,2015
"135","ME","2015-05-15",0,2015-05-15,5,15,2015
"136","ME","2015-05-16",0,2015-05-16,5,16,2015
"137","ME","2015-05-17",0,2015-05-17,5,17,2015
"138","ME","2015-05-18",0,2015-05-18,5,18,2015
"139","ME","2015-05-19",0,2015-05-19,5,19,2015
"140","ME","2015-05-20",0,2015-05-20,5,20,2015
"141","ME","2015-05-21",8.9951,2015-05-21,5,21,2015
"142","ME","2015-05-22",0,2015-05-22,5,22,2015
"143","ME","2015-05-23",0,2015-05-23,5,23,2015
"144","ME","2015-05-24",0,2015-05-24,5,24,2015
"145","ME","2015-05-25",0,2015-05-25,5,25,2015
"146","ME","2015-05-26",0,2015-05-26,5,26,2015
"147","ME","2015-05-27",0,2015-05-27,5,27,2015
"148","ME","2015-05-28",0,2015-05-28,5,28,2015
"149","ME","2015-05-29",0,2015-05-29,5,29,2015
"150","ME","2015-05-30",0,2015-05-30,5,30,2015
"151","ME","2015-05-31",0,2015-05-31,5,31,2015
"152","ME","2015-06-01",0,2015-06-01,6,1,2015
"153","ME","2015-06-02",33.4019,2015-06-02,6,2,2015
"154","ME","2015-06-03",41.2652,2015-06-03,6,3,2015
"155","ME","2015-06-04",0.3051,2015-06-04,6,4,2015
"156","ME","2015-06-05",0,2015-06-05,6,5,2015
"157","ME","2015-06-06",13.2269,2015-06-06,6,6,2015
"158","ME","2015-06-07",0,2015-06-07,6,7,2015
"159","ME","2015-06-08",0,2015-06-08,6,8,2015
"160","ME","2015-06-09",22.9207,2015-06-09,6,9,2015
"161","ME","2015-06-10",0,2015-06-10,6,10,2015
"162","ME","2015-06-11",0,2015-06-11,6,11,2015
"163","ME","2015-06-12",0,2015-06-12,6,12,2015
"164","ME","2015-06-13",0,2015-06-13,6,13,2015
"165","ME","2015-06-14",0,2015-06-14,6,14,2015
"166","ME","2015-06-15",0,2015-06-15,6,15,2015
"167","ME","2015-06-16",0,2015-06-16,6,16,2015
"168","ME","2015-06-17",2.8835,2015-06-17,6,17,2015
"169","ME","2015-06-18",6.5249,2015-06-18,6,18,2015
"170","ME","2015-06-19",18.0295,2015-06-19,6,19,2015
"171","ME","2015-06-20",8.4243,2015-06-20,6,20,2015
"172","ME","2015-06-21",0,2015-06-21,6,21,2015
"173","ME","2015-06-22",0,2015-06-22,6,22,2015
"174","ME","2015-06-23",0,2015-06-23,6,23,2015
"175","ME","2015-06-24",2.3226,2015-06-24,6,24,2015
"176","ME","2015-06-25",0,2015-06-25,6,25,2015
"177","ME","2015-06-26",35.5473,2015-06-26,6,26,2015
"178","ME","2015-06-27",3.5331,2015-06-27,6,27,2015
"179","ME","2015-06-28",0,2015-06-28,6,28,2015
"180","ME","2015-06-29",0,2015-06-29,6,29,2015
"181","ME","2015-06-30",0,2015-06-30,6,30,2015
"182","ME","2015-07-01",0,2015-07-01,7,1,2015
"183","ME","2015-07-02",0,2015-07-02,7,2,2015
"184","ME","2015-07-03",6.1706,2015-07-03,7,3,2015
"185","ME","2015-07-04",0,2015-07-04,7,4,2015
"186","ME","2015-07-05",0.8168,2015-07-05,7,5,2015
"187","ME","2015-07-06",3.3166,2015-07-06,7,6,2015
"188","ME","2015-07-07",1.8305,2015-07-07,7,7,2015
"189","ME","2015-07-08",0,2015-07-08,7,8,2015
"190","ME","2015-07-09",0,2015-07-09,7,9,2015
"191","ME","2015-07-10",0,2015-07-10,7,10,2015
"192","ME","2015-07-11",0.8168,2015-07-11,7,11,2015
"193","ME","2015-07-12",0.6889,2015-07-12,7,12,2015
"194","ME","2015-07-13",24.2296,2015-07-13,7,13,2015
"195","ME","2015-07-14",2.5785,2015-07-14,7,14,2015
"196","ME","2015-07-15",0,2015-07-15,7,15,2015
"197","ME","2015-07-16",2.2242,2015-07-16,7,16,2015
"198","ME","2015-07-17",0,2015-07-17,7,17,2015
"199","ME","2015-07-18",0.7479,2015-07-18,7,18,2015
"200","ME","2015-07-19",0.9153,2015-07-19,7,19,2015
"201","ME","2015-07-20",0,2015-07-20,7,20,2015
"202","ME","2015-07-21",8.9656,2015-07-21,7,21,2015
"203","ME","2015-07-22",0,2015-07-22,7,22,2015
"204","ME","2015-07-23",75.228,2015-07-23,7,23,2015
"205","ME","2015-07-24",0,2015-07-24,7,24,2015
"206","ME","2015-07-25",0,2015-07-25,7,25,2015
"207","ME","2015-07-26",0,2015-07-26,7,26,2015
"208","ME","2015-07-27",0,2015-07-27,7,27,2015
"209","ME","2015-07-28",0,2015-07-28,7,28,2015
"210","ME","2015-07-29",0,2015-07-29,7,29,2015
"211","ME","2015-07-30",0.8267,2015-07-30,7,30,2015
"212","ME","2015-07-31",3.3166,2015-07-31,7,31,2015
"213","ME","2015-08-01",0,2015-08-01,8,1,2015
"214","ME","2015-08-02",6.0426,2015-08-02,8,2,2015
"215","ME","2015-08-03",19.9683,2015-08-03,8,3,2015
"216","ME","2015-08-04",5.5998,2015-08-04,8,4,2015
"217","ME","2015-08-05",0,2015-08-05,8,5,2015
"218","ME","2015-08-06",9.2706,2015-08-06,8,6,2015
"219","ME","2015-08-07",11.5342,2015-08-07,8,7,2015
"220","ME","2015-08-08",0.2854,2015-08-08,8,8,2015
"221","ME","2015-08-09",0,2015-08-09,8,9,2015
"222","ME","2015-08-10",0,2015-08-10,8,10,2015
"223","ME","2015-08-11",40.7436,2015-08-11,8,11,2015
"224","ME","2015-08-12",0,2015-08-12,8,12,2015
"225","ME","2015-08-13",0,2015-08-13,8,13,2015
"226","ME","2015-08-14",0,2015-08-14,8,14,2015
"227","ME","2015-08-15",0,2015-08-15,8,15,2015
"228","ME","2015-08-16",0,2015-08-16,8,16,2015
"229","ME","2015-08-17",0,2015-08-17,8,17,2015
"230","ME","2015-08-18",16.5435,2015-08-18,8,18,2015
"231","ME","2015-08-19",48.853,2015-08-19,8,19,2015
"232","ME","2015-08-20",0,2015-08-20,8,20,2015
"233","ME","2015-08-21",12.6463,2015-08-21,8,21,2015
"234","ME","2015-08-22",0,2015-08-22,8,22,2015
"235","ME","2015-08-23",0,2015-08-23,8,23,2015
"236","ME","2015-08-24",0,2015-08-24,8,24,2015
"237","ME","2015-08-25",8.0601,2015-08-25,8,25,2015
"238","ME","2015-08-26",19.0235,2015-08-26,8,26,2015
"239","ME","2015-08-27",17.5178,2015-08-27,8,27,2015
"240","ME","2015-08-28",0,2015-08-28,8,28,2015
"241","ME","2015-08-29",0,2015-08-29,8,29,2015
"242","ME","2015-08-30",0,2015-08-30,8,30,2015
"243","ME","2015-08-31",16.2187,2015-08-31,8,31,2015
"244","ME","2015-09-01",0,2015-09-01,9,1,2015
"245","ME","2015-09-02",5.1471,2015-09-02,9,2,2015
"246","ME","2015-09-03",0,2015-09-03,9,3,2015
"247","ME","2015-09-04",0.2657,2015-09-04,9,4,2015
"248","ME","2015-09-05",0,2015-09-05,9,5,2015
"249","ME","2015-09-06",0.2657,2015-09-06,9,6,2015
"250","ME","2015-09-07",8.2176,2015-09-07,9,7,2015
"251","ME","2015-09-08",1.3089,2015-09-08,9,8,2015
"252","ME","2015-09-09",3.1788,2015-09-09,9,9,2015
"253","ME","2015-09-10",1.5057,2015-09-10,9,10,2015
"254","ME","2015-09-11",0.4429,2015-09-11,9,11,2015
"255","ME","2015-09-12",0.8464,2015-09-12,9,12,2015
"256","ME","2015-09-13",0,2015-09-13,9,13,2015
"257","ME","2015-09-14",0,2015-09-14,9,14,2015
"258","ME","2015-09-15",0,2015-09-15,9,15,2015
"259","ME","2015-09-16",0,2015-09-16,9,16,2015
"260","ME","2015-09-17",0,2015-09-17,9,17,2015
"261","ME","2015-09-18",0.7479,2015-09-18,9,18,2015
"262","ME","2015-09-19",0,2015-09-19,9,19,2015
"263","ME","2015-09-20",0,2015-09-20,9,20,2015
"264","ME","2015-09-21",0,2015-09-21,9,21,2015
"265","ME","2015-09-22",0.3444,2015-09-22,9,22,2015
"266","ME","2015-09-23",0,2015-09-23,9,23,2015
"267","ME","2015-09-24",12.2231,2015-09-24,9,24,2015
"268","ME","2015-09-25",10.1269,2015-09-25,9,25,2015
"269","ME","2015-09-26",5.4817,2015-09-26,9,26,2015
"270","ME","2015-09-27",7.824,2015-09-27,9,27,2015
"271","ME","2015-09-28",12.5675,2015-09-28,9,28,2015
"272","ME","2015-09-29",0.5806,2015-09-29,9,29,2015
"273","ME","2015-09-30",0.4035,2015-09-30,9,30,2015
"274","ME","2015-10-01",55.4762,2015-10-01,10,1,2015
"275","ME","2015-10-02",72.5118,2015-10-02,10,2,2015
"276","ME","2015-10-03",3.3363,2015-10-03,10,3,2015
"277","ME","2015-10-04",19.9093,2015-10-04,10,4,2015
"278","ME","2015-10-05",18.8857,2015-10-05,10,5,2015
"279","ME","2015-10-06",0,2015-10-06,10,6,2015
"280","ME","2015-10-07",0,2015-10-07,10,7,2015
"281","ME","2015-10-08",0,2015-10-08,10,8,2015
"282","ME","2015-10-09",1.5156,2015-10-09,10,9,2015
"283","ME","2015-10-10",12.9612,2015-10-10,10,10,2015
"284","ME","2015-10-11",5.7868,2015-10-11,10,11,2015
"285","ME","2015-10-12",23.9935,2015-10-12,10,12,2015
"286","ME","2015-10-13",0,2015-10-13,10,13,2015
"287","ME","2015-10-14",0,2015-10-14,10,14,2015
"288","ME","2015-10-15",0,2015-10-15,10,15,2015
"289","ME","2015-10-16",0,2015-10-16,10,16,2015
"290","ME","2015-10-17",0,2015-10-17,10,17,2015
"291","ME","2015-10-18",0,2015-10-18,10,18,2015
