"Plot Title: GSP-BI"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376546, SEN S/N: 20376546)","Coupler Detached (LGR S/N: 20376546)","End Of File (LGR S/N: 20376546)"
135,06/16/23 03:13:56 PM,25.805,,
136,06/16/23 03:43:56 PM,25.902,,
137,06/16/23 04:13:56 PM,26.097,,
138,06/16/23 04:43:56 PM,26.097,,
139,06/16/23 05:13:56 PM,26.000,,
140,06/16/23 05:43:56 PM,26.000,,
141,06/16/23 06:13:56 PM,26.000,,
142,06/16/23 06:43:56 PM,25.902,,
143,06/16/23 07:13:56 PM,25.902,,
144,06/16/23 07:43:56 PM,25.805,,
145,06/16/23 08:13:56 PM,25.708,,
146,06/16/23 08:43:56 PM,25.513,,
147,06/16/23 09:13:56 PM,25.416,,
148,06/16/23 09:43:56 PM,25.319,,
149,06/16/23 10:13:56 PM,25.125,,
150,06/16/23 10:43:56 PM,25.028,,
151,06/16/23 11:13:56 PM,24.931,,
152,06/16/23 11:43:56 PM,24.738,,
153,06/17/23 12:13:56 AM,24.641,,
154,06/17/23 12:43:56 AM,24.545,,
155,06/17/23 01:13:56 AM,24.448,,
156,06/17/23 01:43:56 AM,24.255,,
157,06/17/23 02:13:56 AM,24.158,,
158,06/17/23 02:43:56 AM,24.062,,
159,06/17/23 03:13:56 AM,23.966,,
160,06/17/23 03:43:56 AM,23.869,,
161,06/17/23 04:13:56 AM,23.773,,
162,06/17/23 04:43:56 AM,23.677,,
163,06/17/23 05:13:56 AM,23.581,,
164,06/17/23 05:43:56 AM,23.388,,
165,06/17/23 06:13:56 AM,23.292,,
166,06/17/23 06:43:56 AM,23.196,,
167,06/17/23 07:13:56 AM,23.100,,
168,06/17/23 07:43:56 AM,23.004,,
169,06/17/23 08:13:56 AM,22.908,,
170,06/17/23 08:43:56 AM,22.908,,
171,06/17/23 09:13:56 AM,22.908,,
172,06/17/23 09:43:56 AM,22.908,,
173,06/17/23 10:13:56 AM,23.004,,
174,06/17/23 10:43:56 AM,23.196,,
175,06/17/23 11:13:56 AM,23.388,,
176,06/17/23 11:43:56 AM,23.581,,
177,06/17/23 12:13:56 PM,23.966,,
178,06/17/23 12:43:56 PM,24.255,,
179,06/17/23 01:13:56 PM,24.545,,
180,06/17/23 01:43:56 PM,24.931,,
181,06/17/23 02:13:56 PM,25.222,,
182,06/17/23 02:43:56 PM,25.416,,
183,06/17/23 03:13:56 PM,25.708,,
184,06/17/23 03:43:56 PM,25.805,,
185,06/17/23 04:13:56 PM,26.000,,
186,06/17/23 04:43:56 PM,26.000,,
187,06/17/23 05:13:56 PM,25.902,,
188,06/17/23 05:43:56 PM,25.902,,
189,06/17/23 06:13:56 PM,25.805,,
190,06/17/23 06:43:56 PM,25.805,,
191,06/17/23 07:13:56 PM,25.708,,
192,06/17/23 07:43:56 PM,25.610,,
193,06/17/23 08:13:56 PM,25.513,,
194,06/17/23 08:43:56 PM,25.319,,
195,06/17/23 09:13:56 PM,25.222,,
196,06/17/23 09:43:56 PM,25.028,,
197,06/17/23 10:13:56 PM,24.835,,
198,06/17/23 10:43:56 PM,24.641,,
199,06/17/23 11:13:56 PM,24.545,,
200,06/17/23 11:43:56 PM,24.351,,
201,06/18/23 12:13:56 AM,24.255,,
202,06/18/23 12:43:56 AM,24.062,,
203,06/18/23 01:13:56 AM,23.966,,
204,06/18/23 01:43:56 AM,23.869,,
205,06/18/23 02:13:56 AM,23.773,,
206,06/18/23 02:43:56 AM,23.581,,
207,06/18/23 03:13:56 AM,23.484,,
208,06/18/23 03:43:56 AM,23.388,,
209,06/18/23 04:13:56 AM,23.292,,
210,06/18/23 04:43:56 AM,23.196,,
211,06/18/23 05:13:56 AM,23.100,,
212,06/18/23 05:43:56 AM,23.004,,
213,06/18/23 06:13:56 AM,22.908,,
214,06/18/23 06:43:56 AM,22.908,,
215,06/18/23 07:13:56 AM,22.812,,
216,06/18/23 07:43:56 AM,22.717,,
217,06/18/23 08:13:56 AM,22.717,,
218,06/18/23 08:43:56 AM,22.717,,
219,06/18/23 09:13:56 AM,22.812,,
220,06/18/23 09:43:56 AM,22.908,,
