"Plot Title: 20376544"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376544, SEN S/N: 20376544)","Coupler Detached (LGR S/N: 20376544)","Bad Battery (LGR S/N: 20376544)","Coupler Attached (LGR S/N: 20376544)","End Of File (LGR S/N: 20376544)"
123,06/30/19 09:45:11 AM,23.100,,,,
124,06/30/19 11:45:11 AM,25.902,,,,
125,06/30/19 01:45:11 PM,30.457,,,,
126,06/30/19 03:45:11 PM,29.452,,,,
127,06/30/19 05:45:11 PM,27.468,,,,
128,06/30/19 07:45:11 PM,26.488,,,,
129,06/30/19 09:45:11 PM,25.610,,,,
130,06/30/19 11:45:11 PM,24.835,,,,
131,07/01/19 01:45:11 AM,24.448,,,,
132,07/01/19 03:45:11 AM,23.966,,,,
133,07/01/19 05:45:11 AM,23.484,,,,
134,07/01/19 07:45:11 AM,23.484,,,,
135,07/01/19 09:45:11 AM,24.351,,,,
136,07/01/19 11:45:11 AM,26.683,,,,
137,07/01/19 01:45:11 PM,29.252,,,,
138,07/01/19 03:45:11 PM,28.456,,,,
139,07/01/19 05:45:11 PM,27.370,,,,
140,07/01/19 07:45:11 PM,26.585,,,,
141,07/01/19 09:45:11 PM,25.222,,,,
142,07/01/19 11:45:11 PM,24.255,,,,
143,07/02/19 01:45:11 AM,23.677,,,,
144,07/02/19 03:45:11 AM,23.196,,,,
145,07/02/19 05:45:11 AM,22.717,,,,
146,07/02/19 07:45:11 AM,22.621,,,,
147,07/02/19 09:45:11 AM,23.869,,,,
148,07/02/19 11:45:11 AM,26.390,,,,
149,07/02/19 01:45:11 PM,29.953,,,,
150,07/02/19 03:45:11 PM,29.452,,,,
151,07/02/19 05:45:11 PM,27.468,,,,
152,07/02/19 07:45:11 PM,26.585,,,,
153,07/02/19 09:45:11 PM,25.610,,,,
154,07/02/19 11:45:11 PM,24.835,,,,
155,07/03/19 01:45:11 AM,24.351,,,,
156,07/03/19 03:45:11 AM,24.062,,,,
157,07/03/19 05:45:11 AM,23.773,,,,
158,07/03/19 07:45:11 AM,23.773,,,,
159,07/03/19 09:45:11 AM,24.835,,,,
160,07/03/19 11:45:11 AM,27.272,,,,
161,07/03/19 01:45:11 PM,30.054,,,,
162,07/03/19 03:45:11 PM,25.708,,,,
163,07/03/19 05:45:11 PM,25.416,,,,
164,07/03/19 07:45:11 PM,25.513,,,,
165,07/03/19 09:45:11 PM,24.738,,,,
166,07/03/19 11:45:11 PM,24.255,,,,
167,07/04/19 01:45:11 AM,23.966,,,,
168,07/04/19 03:45:11 AM,23.581,,,,
169,07/04/19 05:45:11 AM,23.292,,,,
170,07/04/19 07:45:11 AM,23.388,,,,
171,07/04/19 09:45:11 AM,24.738,,,,
172,07/04/19 11:45:11 AM,26.585,,,,
173,07/04/19 01:45:11 PM,30.356,,,,
174,07/04/19 03:45:11 PM,30.154,,,,
175,07/04/19 05:45:11 PM,28.060,,,,
176,07/04/19 07:45:11 PM,26.585,,,,
177,07/04/19 09:45:11 PM,25.513,,,,
178,07/04/19 11:45:11 PM,24.931,,,,
179,07/05/19 01:45:11 AM,24.545,,,,
180,07/05/19 03:45:11 AM,24.351,,,,
181,07/05/19 05:45:11 AM,24.158,,,,
182,07/05/19 07:45:11 AM,24.351,,,,
183,07/05/19 09:45:11 AM,25.125,,,,
184,07/05/19 11:45:11 AM,25.805,,,,
185,07/05/19 01:45:11 PM,25.319,,,,
186,07/05/19 03:45:11 PM,25.125,,,,
187,07/05/19 05:45:11 PM,25.319,,,,
188,07/05/19 07:45:11 PM,25.222,,,,
189,07/05/19 09:45:11 PM,24.448,,,,
190,07/05/19 11:45:11 PM,24.062,,,,
191,07/06/19 01:45:11 AM,23.773,,,,
192,07/06/19 03:45:11 AM,23.677,,,,
193,07/06/19 05:45:11 AM,23.484,,,,
194,07/06/19 07:45:11 AM,23.484,,,,
195,07/06/19 09:45:11 AM,24.255,,,,
196,07/06/19 11:45:11 AM,25.902,,,,
197,07/06/19 01:45:11 PM,29.452,,,,
198,07/06/19 03:45:11 PM,29.452,,,,
199,07/06/19 05:45:11 PM,27.764,,,,
200,07/06/19 07:45:11 PM,26.879,,,,
201,07/06/19 09:45:11 PM,26.097,,,,
202,07/06/19 11:45:11 PM,25.610,,,,
203,07/07/19 01:45:11 AM,25.028,,,,
204,07/07/19 03:45:11 AM,24.448,,,,
205,07/07/19 05:45:11 AM,24.062,,,,
206,07/07/19 07:45:11 AM,24.062,,,,
207,07/07/19 09:45:11 AM,25.319,,,,
208,07/07/19 11:45:11 AM,26.879,,,,
209,07/07/19 01:45:11 PM,29.752,,,,
210,07/07/19 03:45:11 PM,29.752,,,,
211,07/07/19 05:45:11 PM,28.159,,,,
212,07/07/19 07:45:11 PM,27.173,,,,
213,07/07/19 09:45:11 PM,26.292,,,,
214,07/07/19 11:45:11 PM,25.805,,,,
215,07/08/19 01:45:11 AM,25.222,,,,
216,07/08/19 03:45:11 AM,24.835,,,,
217,07/08/19 05:45:11 AM,24.545,,,,
218,07/08/19 07:45:11 AM,24.738,,,,
219,07/08/19 09:45:11 AM,25.513,,,,
220,07/08/19 11:45:11 AM,27.567,,,,
221,07/08/19 01:45:11 PM,29.752,,,,
222,07/08/19 03:45:11 PM,30.054,,,,
223,07/08/19 05:45:11 PM,28.655,,,,
224,07/08/19 07:45:11 PM,27.468,,,,
225,07/08/19 09:45:11 PM,26.390,,,,
226,07/08/19 11:45:11 PM,25.805,,,,
227,07/09/19 01:45:11 AM,25.416,,,,
228,07/09/19 03:45:11 AM,25.222,,,,
229,07/09/19 05:45:11 AM,25.028,,,,
230,07/09/19 07:45:11 AM,24.835,,,,
231,07/09/19 09:45:11 AM,25.125,,,,
232,07/09/19 11:45:11 AM,26.000,,,,
233,07/09/19 01:45:11 PM,28.159,,,,
234,07/09/19 03:45:11 PM,27.468,,,,
235,07/09/19 05:45:11 PM,25.902,,,,
236,07/09/19 07:45:11 PM,25.416,,,,
237,07/09/19 09:45:11 PM,25.125,,,,
238,07/09/19 11:45:11 PM,24.931,,,,
239,07/10/19 01:45:11 AM,24.641,,,,
240,07/10/19 03:45:11 AM,24.255,,,,
241,07/10/19 05:45:11 AM,23.869,,,,
242,07/10/19 07:45:11 AM,23.966,,,,
243,07/10/19 09:45:11 AM,24.738,,,,
244,07/10/19 11:45:11 AM,25.028,,,,
245,07/10/19 01:45:11 PM,27.567,,,,
246,07/10/19 03:45:11 PM,27.961,,,,
247,07/10/19 05:45:11 PM,27.075,,,,
248,07/10/19 07:45:11 PM,26.488,,,,
249,07/10/19 09:45:11 PM,25.513,,,,
250,07/10/19 11:45:11 PM,24.835,,,,
251,07/11/19 01:45:11 AM,24.351,,,,
252,07/11/19 03:45:11 AM,23.966,,,,
253,07/11/19 05:45:11 AM,24.062,,,,
254,07/11/19 07:45:11 AM,23.966,,,,
255,07/11/19 09:45:11 AM,24.545,,,,
