"Plot Title: 20376495"
"#","Date Time, GMT-04:00","Temp, °F (LGR S/N: 20376495, SEN S/N: 20376495)","Coupler Detached (LGR S/N: 20376495)","Bad Battery (LGR S/N: 20376495)","Coupler Attached (LGR S/N: 20376495)","Host Connected (LGR S/N: 20376495)","Stopped (LGR S/N: 20376495)","End Of File (LGR S/N: 20376495)"
112,06/26/19 03:23:38 PM,90.867,,,,,,
113,06/26/19 05:23:38 PM,85.014,,,,,,
114,06/26/19 07:23:38 PM,82.686,,,,,,
115,06/26/19 09:23:38 PM,79.853,,,,,,
116,06/26/19 11:23:38 PM,78.624,,,,,,
117,06/27/19 01:23:38 AM,77.225,,,,,,
118,06/27/19 03:23:38 AM,76.354,,,,,,
119,06/27/19 05:23:38 AM,75.139,,,,,,
120,06/27/19 07:23:38 AM,75.139,,,,,,
121,06/27/19 09:23:38 AM,78.800,,,,,,
122,06/27/19 11:23:38 AM,83.399,,,,,,
123,06/27/19 01:23:38 PM,89.569,,,,,,
124,06/27/19 03:23:38 PM,90.124,,,,,,
125,06/27/19 05:23:38 PM,84.654,,,,,,
126,06/27/19 07:23:38 PM,81.442,,,,,,
127,06/27/19 09:23:38 PM,78.449,,,,,,
128,06/27/19 11:23:38 PM,76.528,,,,,,
129,06/28/19 01:23:38 AM,75.139,,,,,,
130,06/28/19 03:23:38 AM,74.271,,,,,,
131,06/28/19 05:23:38 AM,73.580,,,,,,
132,06/28/19 07:23:38 AM,73.753,,,,,,
133,06/28/19 09:23:38 AM,76.876,,,,,,
134,06/28/19 11:23:38 AM,83.579,,,,,,
135,06/28/19 01:23:38 PM,91.240,,,,,,
136,06/28/19 03:23:38 PM,91.800,,,,,,
137,06/28/19 05:23:38 PM,85.194,,,,,,
138,06/28/19 07:23:38 PM,81.797,,,,,,
139,06/28/19 09:23:38 PM,78.975,,,,,,
140,06/28/19 11:23:38 PM,77.225,,,,,,
141,06/29/19 01:23:38 AM,76.006,,,,,,
142,06/29/19 03:23:38 AM,74.791,,,,,,
143,06/29/19 05:23:38 AM,74.098,,,,,,
144,06/29/19 07:23:38 AM,74.446,,,,,,
145,06/29/19 09:23:38 AM,77.923,,,,,,
146,06/29/19 11:23:38 AM,82.686,,,,,,
147,06/29/19 01:23:38 PM,90.124,,,,,,
148,06/29/19 03:23:38 PM,89.938,,,,,,
149,06/29/19 05:23:38 PM,84.654,,,,,,
150,06/29/19 07:23:38 PM,81.442,,,,,,
151,06/29/19 09:23:38 PM,78.800,,,,,,
152,06/29/19 11:23:38 PM,77.749,,,,,,
153,06/30/19 01:23:38 AM,76.528,,,,,,
154,06/30/19 03:23:38 AM,75.659,,,,,,
155,06/30/19 05:23:38 AM,74.964,,,,,,
156,06/30/19 07:23:38 AM,75.312,,,,,,
157,06/30/19 09:23:38 AM,77.923,,,,,,
158,06/30/19 11:23:38 AM,85.374,,,,,,
159,06/30/19 01:23:38 PM,90.680,,,,,,
160,06/30/19 03:23:38 PM,92.926,,,,,,
161,06/30/19 05:23:38 PM,86.459,,,,,,
162,06/30/19 07:23:38 PM,83.221,,,,,,
163,06/30/19 09:23:38 PM,80.735,,,,,,
164,06/30/19 11:23:38 PM,79.326,,,,,,
165,07/01/19 01:23:38 AM,78.449,,,,,,
166,07/01/19 03:23:38 AM,77.749,,,,,,
167,07/01/19 05:23:38 AM,77.400,,,,,,
168,07/01/19 07:23:38 AM,77.400,,,,,,
169,07/01/19 09:23:38 AM,79.151,,,,,,
170,07/01/19 11:23:38 AM,86.097,,,,,,
171,07/01/19 01:23:38 PM,93.304,,,,,,
172,07/01/19 03:23:38 PM,90.124,,,,,,
173,07/01/19 05:23:38 PM,86.459,,,,,,
174,07/01/19 07:23:38 PM,82.864,,,,,,
175,07/01/19 09:23:38 PM,79.151,,,,,,
176,07/01/19 11:23:38 PM,77.050,,,,,,
177,07/02/19 01:23:38 AM,75.832,,,,,,
178,07/02/19 03:23:38 AM,74.619,,,,,,
179,07/02/19 05:23:38 AM,73.753,,,,,,
180,07/02/19 07:23:38 AM,74.098,,,,,,
181,07/02/19 09:23:38 AM,77.400,,,,,,
182,07/02/19 11:23:38 AM,85.735,,,,,,
183,07/02/19 01:23:38 PM,93.304,,,,,,
184,07/02/19 03:23:38 PM,93.493,,,,,,
185,07/02/19 05:23:38 PM,86.823,,,,,,
186,07/02/19 07:23:38 PM,83.043,,,,,,
187,07/02/19 09:23:38 PM,80.735,,,,,,
188,07/02/19 11:23:38 PM,79.853,,,,,,
189,07/03/19 01:23:38 AM,78.975,,,,,,
190,07/03/19 03:23:38 AM,78.449,,,,,,
191,07/03/19 05:23:38 AM,77.923,,,,,,
192,07/03/19 07:23:38 AM,78.800,,,,,,
193,07/03/19 09:23:38 AM,80.911,,,,,,
194,07/03/19 11:23:38 AM,87.368,,,,,,
195,07/03/19 01:23:38 PM,87.368,,,,,,
196,07/03/19 03:23:38 PM,78.098,,,,,,
197,07/03/19 05:23:38 PM,77.574,,,,,,
198,07/03/19 07:23:38 PM,78.274,,,,,,
199,07/03/19 09:23:38 PM,77.400,,,,,,
200,07/03/19 11:23:38 PM,76.876,,,,,,
201,07/04/19 01:23:38 AM,76.528,,,,,,
202,07/04/19 03:23:38 AM,76.354,,,,,,
203,07/04/19 05:23:38 AM,76.354,,,,,,
204,07/04/19 07:23:38 AM,76.528,,,,,,
205,07/04/19 09:23:38 AM,78.449,,,,,,
206,07/04/19 11:23:38 AM,85.374,,,,,,
207,07/04/19 01:23:38 PM,90.867,,,,,,
208,07/04/19 03:23:38 PM,86.641,,,,,,
209,07/04/19 05:23:38 PM,83.221,,,,,,
210,07/04/19 07:23:38 PM,82.330,,,,,,
211,07/04/19 09:23:38 PM,80.559,,,,,,
212,07/04/19 11:23:38 PM,79.326,,,,,,
213,07/05/19 01:23:38 AM,78.624,,,,,,
214,07/05/19 03:23:38 AM,78.098,,,,,,
215,07/05/19 05:23:38 AM,77.400,,,,,,
216,07/05/19 07:23:38 AM,77.400,,,,,,
217,07/05/19 09:23:38 AM,80.559,,,,,,
218,07/05/19 11:23:38 AM,83.579,,,,,,
219,07/05/19 01:23:38 PM,90.124,,,,,,
220,07/05/19 03:23:38 PM,84.295,,,,,,
221,07/05/19 05:23:38 PM,82.864,,,,,,
222,07/05/19 07:23:38 PM,81.442,,,,,,
223,07/05/19 09:23:38 PM,79.502,,,,,,
224,07/05/19 11:23:38 PM,78.274,,,,,,
225,07/06/19 01:23:38 AM,77.574,,,,,,
226,07/06/19 03:23:38 AM,76.703,,,,,,
227,07/06/19 05:23:38 AM,76.354,,,,,,
228,07/06/19 07:23:38 AM,76.876,,,,,,
229,07/06/19 09:23:38 AM,79.502,,,,,,
230,07/06/19 11:23:38 AM,80.382,,,,,,
231,07/06/19 01:23:38 PM,88.833,,,,,,
232,07/06/19 03:23:38 PM,90.495,,,,,,
233,07/06/19 05:23:38 PM,86.641,,,,,,
234,07/06/19 07:23:38 PM,83.399,,,,,,
235,07/06/19 09:23:38 PM,81.266,,,,,,
236,07/06/19 11:23:38 PM,80.382,,,,,,
237,07/07/19 01:23:38 AM,79.502,,,,,,
238,07/07/19 03:23:38 AM,78.624,,,,,,
239,07/07/19 05:23:38 AM,78.098,,,,,,
240,07/07/19 07:23:38 AM,78.098,,,,,,
241,07/07/19 09:23:38 AM,80.382,,,,,,
242,07/07/19 11:23:38 AM,85.915,,,,,,
243,07/07/19 01:23:38 PM,85.735,,,,,,
244,07/07/19 03:23:38 PM,90.124,,,,,,
245,07/07/19 05:23:38 PM,85.735,,,,,,
246,07/07/19 07:23:38 PM,83.221,,,,,,
247,07/07/19 09:23:38 PM,81.442,,,,,,
248,07/07/19 11:23:38 PM,80.382,,,,,,
249,07/08/19 01:23:38 AM,79.853,,,,,,
250,07/08/19 03:23:38 AM,79.151,,,,,,
251,07/08/19 05:23:38 AM,78.274,,,,,,
252,07/08/19 07:23:38 AM,78.274,,,,,,
253,07/08/19 09:23:38 AM,79.326,,,,,,
254,07/08/19 11:23:38 AM,81.621,,,,,,
255,07/08/19 01:23:38 PM,88.466,,,,,,
256,07/08/19 03:23:38 PM,86.823,,,,,,
257,07/08/19 05:23:38 PM,79.502,,,,,,
258,07/08/19 07:23:38 PM,80.206,,,,,,
259,07/08/19 09:23:38 PM,79.326,,,,,,
260,07/08/19 11:23:38 PM,78.624,,,,,,
261,07/09/19 01:23:38 AM,77.923,,,,,,
262,07/09/19 03:23:38 AM,77.574,,,,,,
263,07/09/19 05:23:38 AM,76.876,,,,,,
264,07/09/19 07:23:38 AM,77.225,,,,,,
265,07/09/19 09:23:38 AM,80.206,,,,,,
266,07/09/19 11:23:38 AM,83.579,,,,,,
267,07/09/19 01:23:38 PM,85.374,,,,,,
268,07/09/19 03:23:38 PM,86.641,,,,,,
269,07/09/19 05:23:38 PM,83.221,,,,,,
270,07/09/19 07:23:38 PM,81.621,,,,,,
271,07/09/19 09:23:38 PM,79.502,,,,,,
272,07/09/19 11:23:38 PM,77.749,,,,,,
273,07/10/19 01:23:38 AM,76.876,,,,,,
274,07/10/19 03:23:38 AM,76.354,,,,,,
275,07/10/19 05:23:38 AM,76.181,,,,,,
276,07/10/19 07:23:38 AM,76.703,,,,,,
277,07/10/19 09:23:38 AM,78.624,,,,,,
278,07/10/19 11:23:38 AM,83.935,,,,,,
279,07/10/19 01:23:38 PM,88.833,,,,,,
280,07/10/19 03:23:38 PM,91.425,,,,,,
281,07/10/19 05:23:38 PM,86.277,,,,,,
282,07/10/19 07:23:38 PM,83.221,,,,,,
283,07/10/19 09:23:38 PM,80.911,,,,,,
284,07/10/19 11:23:38 PM,79.853,,,,,,
285,07/11/19 01:23:38 AM,79.326,,,,,,
286,07/11/19 03:23:38 AM,78.274,,,,,,
287,07/11/19 05:23:38 AM,77.574,,,,,,
288,07/11/19 07:23:38 AM,77.749,,,,,,
289,07/11/19 09:23:38 AM,79.678,,,,,,
290,07/11/19 11:23:38 AM,85.554,,,,,,
291,07/11/19 01:23:38 PM,91.240,,,,,,
292,07/11/19 03:23:38 PM,90.495,,,,,,
293,07/11/19 05:23:38 PM,86.823,,,,,,
294,07/11/19 07:23:38 PM,83.757,,,,,,
295,07/11/19 09:23:38 PM,81.975,,,,,,
296,07/11/19 11:23:38 PM,81.090,,,,,,
297,07/12/19 01:23:38 AM,80.029,,,,,,
298,07/12/19 03:23:38 AM,78.975,,,,,,
299,07/12/19 05:23:38 AM,77.923,,,,,,
300,07/12/19 07:23:38 AM,76.876,,,,,,
301,07/12/19 09:23:38 AM,77.923,,,,,,
302,07/12/19 11:23:38 AM,80.911,,,,,,
303,07/12/19 01:23:38 PM,84.654,,,,,,
304,07/12/19 03:23:38 PM,86.641,,,,,,
305,07/12/19 05:23:38 PM,85.014,,,,,,
306,07/12/19 07:23:38 PM,83.757,,,,,,
307,07/12/19 09:23:38 PM,81.442,,,,,,
308,07/12/19 11:23:38 PM,80.382,,,,,,
309,07/13/19 01:23:38 AM,79.502,,,,,,
310,07/13/19 03:23:38 AM,78.975,,,,,,
311,07/13/19 05:23:38 AM,78.624,,,,,,
312,07/13/19 07:23:38 AM,78.800,,,,,,
313,07/13/19 09:23:38 AM,80.911,,,,,,
314,07/13/19 11:23:38 AM,86.459,,,,,,
315,07/13/19 01:23:38 PM,86.823,,,,,,
316,07/13/19 03:23:38 PM,83.579,,,,,,
317,07/13/19 05:23:38 PM,81.975,,,,,,
318,07/13/19 07:23:38 PM,80.911,,,,,,
319,07/13/19 09:23:38 PM,79.151,,,,,,
320,07/13/19 11:23:38 PM,78.449,,,,,,
321,07/14/19 01:23:38 AM,77.749,,,,,,
322,07/14/19 03:23:38 AM,77.225,,,,,,
323,07/14/19 05:23:38 AM,76.528,,,,,,
324,07/14/19 07:23:38 AM,77.050,,,,,,
325,07/14/19 09:23:38 AM,79.502,,,,,,
326,07/14/19 11:23:38 AM,84.834,,,,,,
327,07/14/19 01:23:38 PM,88.833,,,,,,
328,07/14/19 03:23:38 PM,88.833,,,,,,
329,07/14/19 05:23:38 PM,86.459,,,,,,
330,07/14/19 07:23:38 PM,84.115,,,,,,
331,07/14/19 09:23:38 PM,81.621,,,,,,
332,07/14/19 11:23:38 PM,80.029,,,,,,
333,07/15/19 01:23:38 AM,78.975,,,,,,
334,07/15/19 03:23:38 AM,78.098,,,,,,
335,07/15/19 05:23:38 AM,77.400,,,,,,
336,07/15/19 07:23:38 AM,77.574,,,,,,
337,07/15/19 09:23:38 AM,80.029,,,,,,
338,07/15/19 11:23:38 AM,86.459,,,,,,
339,07/15/19 01:23:38 PM,93.682,,,,,,
340,07/15/19 03:23:38 PM,93.304,,,,,,
341,07/15/19 05:23:38 PM,87.733,,,,,,
342,07/15/19 07:23:38 PM,85.194,,,,,,
343,07/15/19 09:23:38 PM,82.686,,,,,,
344,07/15/19 11:23:38 PM,80.911,,,,,,
345,07/16/19 01:23:38 AM,79.678,,,,,,
346,07/16/19 03:23:38 AM,78.624,,,,,,
347,07/16/19 05:23:38 AM,77.923,,,,,,
348,07/16/19 07:23:38 AM,78.098,,,,,,
349,07/16/19 09:23:38 AM,80.206,,,,,,
350,07/16/19 11:23:38 AM,86.459,,,,,,
351,07/16/19 01:23:38 PM,92.550,,,,,,
352,07/16/19 03:23:38 PM,94.062,,,,,,
353,07/16/19 05:23:38 PM,88.099,,,,,,
354,07/16/19 07:23:38 PM,85.554,,,,,,
355,07/16/19 09:23:38 PM,83.043,,,,,,
356,07/16/19 11:23:38 PM,82.152,,,,,,
357,07/17/19 01:23:38 AM,81.442,,,,,,
358,07/17/19 03:23:38 AM,80.382,,,,,,
359,07/17/19 05:23:38 AM,79.326,,,,,,
360,07/17/19 07:23:38 AM,79.326,,,,,,
361,07/17/19 09:23:38 AM,81.621,,,,,,
362,07/17/19 11:23:38 AM,87.552,,,,,,
363,07/17/19 01:23:38 PM,94.253,,,,,,
364,07/17/19 03:23:38 PM,94.253,,,,,,
365,07/17/19 05:23:38 PM,88.099,,,,,,
366,07/17/19 07:23:38 PM,85.194,,,,,,
367,07/17/19 09:23:38 PM,83.043,,,,,,
368,07/17/19 11:23:38 PM,82.152,,,,,,
369,07/18/19 01:23:38 AM,81.621,,,,,,
370,07/18/19 03:23:38 AM,81.266,,,,,,
371,07/18/19 05:23:38 AM,80.911,,,,,,
372,07/18/19 07:23:38 AM,81.266,,,,,,
373,07/18/19 09:23:38 AM,82.864,,,,,,
374,07/18/19 11:23:38 AM,87.186,,,,,,
375,07/18/19 01:23:38 PM,93.873,,,,,,
376,07/18/19 03:23:38 PM,90.867,,,,,,
377,07/18/19 05:23:38 PM,88.650,,,,,,
378,07/18/19 07:23:38 PM,84.834,,,,,,
379,07/18/19 09:23:38 PM,83.399,,,,,,
380,07/18/19 11:23:38 PM,82.330,,,,,,
381,07/19/19 01:23:38 AM,81.621,,,,,,
382,07/19/19 03:23:38 AM,80.382,,,,,,
383,07/19/19 05:23:38 AM,79.326,,,,,,
384,07/19/19 07:23:38 AM,79.502,,,,,,
385,07/19/19 09:23:38 AM,80.735,,,,,,
386,07/19/19 11:23:38 AM,88.099,,,,,,
387,07/19/19 01:23:38 PM,95.783,,,,,,
388,07/19/19 03:23:38 PM,95.400,,,,,,
389,07/19/19 05:23:38 PM,88.466,,,,,,
390,07/19/19 07:23:38 PM,85.374,,,,,,
391,07/19/19 09:23:38 PM,83.579,,,,,,
392,07/19/19 11:23:38 PM,82.508,,,,,,
393,07/20/19 01:23:38 AM,81.442,,,,,,
394,07/20/19 03:23:38 AM,80.382,,,,,,
395,07/20/19 05:23:38 AM,79.502,,,,,,
396,07/20/19 07:23:38 AM,79.326,,,,,,
397,07/20/19 09:23:38 AM,80.911,,,,,,
398,07/20/19 11:23:38 AM,87.915,,,,,,
399,07/20/19 01:23:38 PM,97.137,,,,,,
400,07/20/19 03:23:38 PM,96.168,,,,,,
401,07/20/19 05:23:38 PM,88.833,,,,,,
402,07/20/19 07:23:38 PM,85.554,,,,,,
403,07/20/19 09:23:38 PM,83.399,,,,,,
404,07/20/19 11:23:38 PM,82.330,,,,,,
405,07/21/19 01:23:38 AM,81.442,,,,,,
406,07/21/19 03:23:38 AM,80.382,,,,,,
407,07/21/19 05:23:38 AM,79.678,,,,,,
408,07/21/19 07:23:38 AM,79.502,,,,,,
409,07/21/19 09:23:38 AM,80.735,,,,,,
410,07/21/19 11:23:38 AM,87.004,,,,,,
411,07/21/19 01:23:38 PM,93.493,,,,,,
412,07/21/19 03:23:38 PM,96.168,,,,,,
413,07/21/19 05:23:38 PM,88.650,,,,,,
414,07/21/19 07:23:38 PM,85.554,,,,,,
415,07/21/19 09:23:38 PM,83.399,,,,,,
416,07/21/19 11:23:38 PM,82.508,,,,,,
417,07/22/19 01:23:38 AM,81.621,,,,,,
418,07/22/19 03:23:38 AM,80.735,,,,,,
419,07/22/19 05:23:38 AM,79.678,,,,,,
420,07/22/19 07:23:38 AM,79.678,,,,,,
421,07/22/19 09:23:38 AM,80.911,,,,,,
422,07/22/19 11:23:38 AM,88.099,,,,,,
423,07/22/19 01:23:38 PM,97.720,,,,,,
424,07/22/19 03:23:38 PM,96.555,,,,,,
425,07/22/19 05:23:38 PM,88.282,,,,,,
426,07/22/19 07:23:38 PM,85.014,,,,,,
427,07/22/19 09:23:38 PM,83.043,,,,,,
428,07/22/19 11:23:38 PM,82.152,,,,,,
429,07/23/19 01:23:38 AM,81.797,,,,,,
430,07/23/19 03:23:38 AM,81.266,,,,,,
431,07/23/19 05:23:38 AM,80.559,,,,,,
432,07/23/19 07:23:38 AM,80.559,,,,,,
433,07/23/19 09:23:38 AM,81.975,,,,,,
434,07/23/19 11:23:38 AM,86.459,,,,,,
435,07/23/19 01:23:38 PM,95.783,,,,,,
436,07/23/19 03:23:38 PM,94.633,,,,,,
437,07/23/19 05:23:38 PM,88.099,,,,,,
438,07/23/19 07:23:38 PM,85.014,,,,,,
439,07/23/19 09:23:38 PM,81.797,,,,,,
440,07/23/19 11:23:38 PM,80.382,,,,,,
441,07/24/19 01:23:38 AM,79.853,,,,,,
442,07/24/19 03:23:38 AM,78.975,,,,,,
443,07/24/19 05:23:38 AM,78.274,,,,,,
444,07/24/19 07:23:38 AM,77.923,,,,,,
445,07/24/19 09:23:38 AM,80.029,,,,,,
446,07/24/19 11:23:38 AM,82.686,,,,,,
447,07/24/19 01:23:38 PM,84.115,,,,,,
448,07/24/19 03:23:38 PM,85.014,,,,,,
449,07/24/19 05:23:38 PM,83.757,,,,,,
450,07/24/19 07:23:38 PM,82.864,,,,,,
451,07/24/19 09:23:38 PM,79.678,,,,,,
