"","s.logsize0","TSF","TBF","s.TSF","s.sq.TSF","s.TBF","newTBF","site","s.P_RD","s.P_RH","s.P_RA","s.sq.P_RA","s.sq.T_RH","s.sq.T_RA","s.T_RA","s.T_RD","s.T_RH","s.T_RC","s.P_LA","s.P_LH","s.sq.T_LA","s.T_LA","s.T_LD","s.sq.P_LA","s.T_LH","s.T_LC","s.sq.T_LH","sur_fit","sur_se","sur_lwr","sur_upr","gr.fit","gr.upr","gr.lwr","prep_fit","prep_se","prep_lwr","prep_upr","crep.fit","crep.upr","crep.lwr"
"11",-0.001092323,10, 0, 4.1078384, 0.19185177,-1.122397,"Short TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.4656963,0.112017209,0.2461466,0.6852460,4.852638,6.718287,2.956847,0.0001198032,6.913694e-05,-1.570272e-05,0.0002553091,1.7599998,2.8095038,0.7929391
"12",-0.001092323, 0,10,-0.7729026,-0.39048116, 3.190157,"Long TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.9580603,0.004951323,0.9483558,0.9677647,4.628407,6.551785,2.719929,0.0092562703,2.030919e-03, 5.275742e-03,0.0132367984,1.7779737,2.7703084,0.7776498
"13",-0.001092323, 1,10,-0.2848285,-0.33224787, 3.190157,"Long TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.9427874,0.006592161,0.9298670,0.9557078,4.657970,6.584913,2.771598,0.0073726365,1.539388e-03, 4.355492e-03,0.0103897813,1.7726892,2.7542061,0.7999477
"14",-0.001092323, 2,10, 0.2032456,-0.27401458, 3.190157,"Long TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.9224031,0.009842494,0.9031122,0.9416941,4.660617,6.560623,2.783256,0.0058700475,1.325922e-03, 3.271289e-03,0.0084688061,1.7645202,2.7729557,0.7946147
"15",-0.001092323, 3,10, 0.6913197,-0.21578128, 3.190157,"Long TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.8955608,0.015398451,0.8653804,0.9257412,4.689297,6.614322,2.793906,0.0046722541,1.240735e-03, 2.240458e-03,0.0071040500,1.7697288,2.7817847,0.8258963
"16",-0.001092323, 4,10, 1.1793938,-0.15754799, 3.190157,"Long TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.8608340,0.023815695,0.8141561,0.9075119,4.724705,6.619374,2.836969,0.0037179584,1.188309e-03, 1.388915e-03,0.0060470022,1.7834716,2.7707179,0.7612729
"17",-0.001092323, 5,10, 1.6674679,-0.09931470, 3.190157,"Long TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.8169208,0.035442563,0.7474546,0.8863869,4.724919,6.617098,2.821235,0.0029579958,1.130097e-03, 7.430463e-04,0.0051729454,1.7545280,2.7298028,0.8077169
"18",-0.001092323, 6,10, 2.1555420,-0.04108141, 3.190157,"Long TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.7629664,0.050189091,0.6645976,0.8613353,4.775438,6.666659,2.852857,0.0023530052,1.057448e-03, 2.804443e-04,0.0044255661,1.7830002,2.7478105,0.7379103
"19",-0.001092323, 7,10, 2.6436161, 0.01715189, 3.190157,"Long TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.6989708,0.067232032,0.5671984,0.8307431,4.800670,6.642106,2.896102,0.0018715193,9.727752e-04,-3.508507e-05,0.0037781237,1.7780328,2.7721329,0.7248444
"20",-0.001092323, 8,10, 3.1316902, 0.07538518, 3.190157,"Long TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.6261630,0.084853090,0.4598540,0.7924720,4.819123,6.676528,2.916143,0.0014884110,8.812870e-04,-2.388799e-04,0.0032157018,1.7866137,2.7412318,0.7965666
"21",-0.001092323, 9,10, 3.6197643, 0.13361847, 3.190157,"Long TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.5471545,0.100624057,0.3499349,0.7443740,4.830398,6.728010,2.912378,0.0011836336,7.879815e-04,-3.607818e-04,0.0027280490,1.7859545,2.6944008,0.8048194
"22",-0.001092323,10,10, 4.1078384, 0.19185177, 3.190157,"Long TBF","CM",-1.772341e-17,2.755233e-16,-3.107209e-16,-2.506893e-16,-5.812635e-16,4.564717e-16,-1.285384e-15,1.37473e-16,-1.253952e-15,3.132945e-16,2.790026e-17,3.980255e-16,7.36403e-16,3.348777e-15,1.889035e-16,1.409629e-16,2.143052e-15,-9.302852e-17,-8.056536e-16,0.4656963,0.112017209,0.2461466,0.6852460,4.843246,6.733978,2.952088,0.0009412057,6.967557e-04,-4.244104e-04,0.0023068218,1.7413825,2.7745610,0.7686935
