"","quad","site","num_news","num_fr","key_qsy","startyear","TSF","TBF"
"144","13","CH",0,0,"13_CH_2019",2019,15,3
"145","1","CM",0,0,"1_CM_2019",2019,0,3
"146","2","CM",0,1,"2_CM_2019",2019,0,3
"147","6","CM",0,6,"6_CM_2019",2019,0,3
"148","north-7","GSP-LI",2,9,"north-7_GSP-LI_2019",2019,0,4
"149","north-8","GSP-LI",0,2,"north-8_GSP-LI_2019",2019,0,4
"150","north-10","GSP-LI",0,0,"north-10_GSP-LI_2019",2019,0,4
"151","north-11","GSP-LI",4,8,"north-11_GSP-LI_2019",2019,0,4
"152","north-18","GSP-LI",1,0,"north-18_GSP-LI_2019",2019,0,4
"153","north-19","GSP-LI",1,0,"north-19_GSP-LI_2019",2019,0,4
"154","north-20","GSP-LI",3,0,"north-20_GSP-LI_2019",2019,0,4
"155","south-3","GSP-LI",0,0,"south-3_GSP-LI_2019",2019,0,4
"156","south-4","GSP-LI",6,0,"south-4_GSP-LI_2019",2019,0,4
"157","south-6","GSP-LI",0,0,"south-6_GSP-LI_2019",2019,0,4
"158","south-7","GSP-LI",0,3,"south-7_GSP-LI_2019",2019,0,4
"159","south-9","GSP-LI",1,0,"south-9_GSP-LI_2019",2019,0,4
"160","south-10","GSP-LI",0,0,"south-10_GSP-LI_2019",2019,0,4
"161","south-18","GSP-LI",3,0,"south-18_GSP-LI_2019",2019,0,4
"162","23","IA",0,0,"23_IA_2019",2019,0,4
"163","28","IA",0,0,"28_IA_2019",2019,0,4
"164","2","ME",0,0,"2_ME_2019",2019,0,2
"165","3","ME",0,0,"3_ME_2019",2019,0,2
"166","5","ME",0,1,"5_ME_2019",2019,0,2
"167","2","CH",0,0,"2_CH_2019",2019,15,3
"168","6","CH",1,0,"6_CH_2019",2019,15,3
"169","7","CH",0,7,"7_CH_2019",2019,15,3
"170","11","CH",0,36,"11_CH_2019",2019,15,3
"171","12","CH",0,8,"12_CH_2019",2019,15,3
"172","south-3","GSP-LI",0,3,"south-3_GSP-LI_2019",2019,0,4
"173","south-5","GSP-LI",1,2,"south-5_GSP-LI_2019",2019,0,4
"174","south-20","GSP-LI",0,0,"south-20_GSP-LI_2019",2019,0,4
"175","1","ME",0,0,"1_ME_2019",2019,0,2
"176","5","B2",0,7,"5_B2_2020",2020,13,12
"177","11","B2",0,81,"11_B2_2020",2020,13,12
"178","14","B2",0,23,"14_B2_2020",2020,13,12
"179","20","B2",0,51,"20_B2_2020",2020,13,12
"180","1","CH",0,0,"1_CH_2020",2020,0,15
"181","3","CH",1,0,"3_CH_2020",2020,0,15
"182","4","CH",0,18,"4_CH_2020",2020,0,15
"183","5","CH",1,12,"5_CH_2020",2020,0,15
"184","8","CH",0,0,"8_CH_2020",2020,0,15
"185","13","CH",0,0,"13_CH_2020",2020,0,15
"186","1","CM",0,2,"1_CM_2020",2020,1,3
"187","2","CM",1,0,"2_CM_2020",2020,1,3
"188","6","CM",1,11,"6_CM_2020",2020,1,3
"189","west-2","GSP-BI",0,0,"west-2_GSP-BI_2020",2020,4,3
"190","north-7","GSP-LI",5,17,"north-7_GSP-LI_2020",2020,1,4
"191","north-11","GSP-LI",1,0,"north-11_GSP-LI_2020",2020,1,4
"192","north-20","GSP-LI",2,15,"north-20_GSP-LI_2020",2020,1,4
"193","south-2","GSP-LI",0,0,"south-2_GSP-LI_2020",2020,1,4
"194","south-4","GSP-LI",5,24,"south-4_GSP-LI_2020",2020,1,4
"195","south-6","GSP-LI",1,4,"south-6_GSP-LI_2020",2020,1,4
"196","south-7","GSP-LI",2,5,"south-7_GSP-LI_2020",2020,1,4
"197","south-9","GSP-LI",0,7,"south-9_GSP-LI_2020",2020,1,4
"198","south-18","GSP-LI",0,0,"south-18_GSP-LI_2020",2020,1,4
"199","16","IA",0,11,"16_IA_2020",2020,1,4
"200","17","IA",0,12,"17_IA_2020",2020,1,4
"201","20","IA",0,0,"20_IA_2020",2020,1,4
"202","22","IA",0,0,"22_IA_2020",2020,1,4
"203","23","IA",0,9,"23_IA_2020",2020,1,4
"204","25","IA",0,0,"25_IA_2020",2020,1,4
"205","3","ME",0,0,"3_ME_2020",2020,1,2
"206","8","ME",0,0,"8_ME_2020",2020,1,2
"207","8","B2",0,0,"8_B2_2020",2020,13,12
"208","2","CH",2,0,"2_CH_2020",2020,0,15
"209","6","CH",0,0,"6_CH_2020",2020,0,15
"210","7","CH",0,9,"7_CH_2020",2020,0,15
"211","11","CH",0,0,"11_CH_2020",2020,0,15
"212","12","CH",0,10,"12_CH_2020",2020,0,15
"213","north-10","GSP-LI",2,6,"north-10_GSP-LI_2020",2020,1,4
"214","south-3","GSP-LI",0,29,"south-3_GSP-LI_2020",2020,1,4
"215","south-16","GSP-LI",2,12,"south-16_GSP-LI_2020",2020,1,4
"216","9","ME",0,0,"9_ME_2020",2020,1,2
"217","10","ME",0,9,"10_ME_2020",2020,1,2
"218","1","B2",0,14,"1_B2_2020",2020,13,12
"219","south-5","GSP-LI",1,9,"south-5_GSP-LI_2020",2020,1,4
"220","south-10","GSP-LI",0,6,"south-10_GSP-LI_2020",2020,1,4
"221","south-20","GSP-LI",0,7,"south-20_GSP-LI_2020",2020,1,4
"222","18","IA",0,0,"18_IA_2020",2020,1,4
"223","28","IA",0,0,"28_IA_2020",2020,1,4
"224","5","B2",0,5,"5_B2_2021",2021,14,12
"225","14","B2",0,18,"14_B2_2021",2021,14,12
"226","20","B2",0,53,"20_B2_2021",2021,14,12
"227","1","CH",0,0,"1_CH_2021",2021,1,15
"228","3","CH",0,0,"3_CH_2021",2021,1,15
"229","4","CH",0,42,"4_CH_2021",2021,1,15
"230","5","CH",0,30,"5_CH_2021",2021,1,15
"231","1","CM",1,0,"1_CM_2021",2021,0,1
"232","6","CM",0,14,"6_CM_2021",2021,0,1
"233","east-4","GSP-BI",2,0,"east-4_GSP-BI_2021",2021,5,3
"234","west-2","GSP-BI",1,22,"west-2_GSP-BI_2021",2021,5,3
"235","north-20","GSP-LI",0,0,"north-20_GSP-LI_2021",2021,2,4
"236","south-2","GSP-LI",0,3,"south-2_GSP-LI_2021",2021,2,4
"237","south-7","GSP-LI",0,0,"south-7_GSP-LI_2021",2021,2,4
"238","south-9","GSP-LI",0,9,"south-9_GSP-LI_2021",2021,2,4
"239","16","IA",2,4,"16_IA_2021",2021,2,4
"240","17","IA",1,10,"17_IA_2021",2021,2,4
"241","25","IA",0,7,"25_IA_2021",2021,2,4
"242","26","IA",0,0,"26_IA_2021",2021,2,4
"243","8","ME",0,0,"8_ME_2021",2021,2,2
"244","2","CH",0,6,"2_CH_2021",2021,1,15
"245","7","CH",0,22,"7_CH_2021",2021,1,15
"246","11","CH",0,26,"11_CH_2021",2021,1,15
"247","12","CH",0,0,"12_CH_2021",2021,1,15
"248","east-2","GSP-BI",1,0,"east-2_GSP-BI_2021",2021,5,3
"249","south-3","GSP-LI",0,8,"south-3_GSP-LI_2021",2021,2,4
"250","south-16","GSP-LI",0,5,"south-16_GSP-LI_2021",2021,2,4
"251","1","B2",0,27,"1_B2_2021",2021,14,12
"252","6","CH",1,0,"6_CH_2021",2021,1,15
"253","28","IA",0,0,"28_IA_2021",2021,2,4
"254","11","B2",0,131,"11_B2_2021",2021,14,12
"255","16","B2",0,0,"16_B2_2021",2021,14,12
"256","south-4","GSP-LI",2,4,"south-4_GSP-LI_2021",2021,2,4
"257","18","IA",1,0,"18_IA_2021",2021,2,4
"258","south-20","GSP-LI",0,7,"south-20_GSP-LI_2021",2021,2,4
"259","5","B2",0,0,"5_B2_2022",2022,15,12
"260","14","B2",0,0,"14_B2_2022",2022,15,12
"261","3","CH",0,0,"3_CH_2022",2022,2,15
"262","5","CH",0,34,"5_CH_2022",2022,2,15
"263","13","CH",0,0,"13_CH_2022",2022,2,15
