,site_ID,site,ID,quad,mark,x,y,Date_Marked2015,N15,L15,size15,CT15,FR15,DT15,Notes15,Comm15,libsur15_16,consur15_16,Total.leaves.including.brown.ones2015,N.DEAD15,date16,N16,L16,size16,CT16,FR16,DT16,Notes16,Comm16,libsur16_17,consur16_17,date17,N17,L17,size17,CT17,FR17,DT17,Notes17,Comm17,libsur17_18,consur17_18,N18,L18,size18,FR18,Notes18,Comm18,include.in.19.census,N19,L19,FR19,Notes19,Comm19,libsur18_19,size19,N20,L20,FR20,FLW20,Notes20,Comm20,libsur19_20,size20,N21,L21,FR21,FLW21,Notes21,Comm21,libsur20_21,size21,N22,L22,FR22,FLW22,Notes22,Comm22,Measurer22,libsur21_22,size22,N23,L23,FR23,FLW23,Notes23,Comm23,Measurer23,libsur22_23,size23,N24,L24,FR24,FLW24,Note24,Comm24,libsur23_24,size24,Note25,N25,L25,FR25,FLW25,Comm25,libsur24_25,libsur24_25_tpry,size25,libsur15_16_tpry,libsur16_17_tpry,libsur17_18_tpry,libsur18_19_tpry,libsur19_20_tpry,libsur20_21_tpry,libsur21_22_tpry,libsur22_23_tpry,libsur23_24_tpry
144,ME_216,ME,216,8,wh,23,37,28-May,7,17,119,2,0,0,,,1,1,,,28-May,5,83,415,2,0,2,,,1,1,28-May,11,72,792,4,0,1,,,1,1,5,82,410,11,,,Y,8,92,,,,1,736,"5, 4","65, 54",,,2ros,2nd ros nincl 19?,1,1071,0,,,,,new lvs,1,0,0,,,,,sen,wfm,1,0,5,24,,,,,nzk,1,120,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,
145,CH_19.26.,CH,19.26.,3,gd,35,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,16,,,missed,1,80,8,29,,,,,1,232,4,18,,,,,1,72,7,27,,,,,wfm,1,189,6,21,,,,,aml,1,126,4,29,,,,,1,116,,0,,,,new lvs,1,1,0,,,,1,1,1,1,1,1
146,GSP-BI_19.4.,GSP-BI,19.4.,E,bh,100,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,39,,,missed,1,78,2,21,,,,,1,42,10,15,,,,qns75-100,1,150,6,42,,,,,wfm,1,252,0,,,,,new lvs,aml,1,0,3,31,2,4,,"qs75-100, no new",1,93,,4,25,,,,1,1,100,,,,1,1,1,1,1,1
147,GSP-BI_19.5.,GSP-BI,19.5.,E,wh,99,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,14,,,missed,1,28,7,20,,,,qns75-100,1,140,5,5,,,,,1,25,8,11,,,,qs75-100,wfm,1,88,0,,,,,qns75-100; new lvs,aml,1,0,10,14,,,,,1,140,,0,,,,m25,1,0,0,,,,1,1,1,1,1,1
148,GSP-BI_19.7.,GSP-BI,19.7.,E,bd,430,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,34,,,missed,1,68,5,41,,,,,1,205,6,29,,,,,1,174,3,5,,,,inf aborted,tl,1,15,0,,,,,new lvs,aml,1,0,7,20,,,,,1,140,,0,,,,m25,1,0,0,,,,1,1,1,1,1,1
149,GSP-LI_19.29.,GSP-LI,19.29.,N,wh,505,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15,,new,,1,75,7,10,,,,,1,70,7,10,,,,,1,70,2,10,,,,,nzk,1,20,0,,,,,new lvs,gage,1,0,3,10,,,,,1,30,,5,30,,,,1,1,150,,,,1,1,1,1,1,1
150,GSP-BI_20.1.,GSP-BI,20.1.,E,yd,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,new lvs,1,0,5,21,,,,,1,105,2,10,,,,,wfm,1,20,,,,,dead23; bew unm pl L,PresAlive23; PresAlive23,gage,1,0,,,,,dead23 !unm pl L,PresAlive24; PresAlive24,1,,,8,31,,,"on map, not datasheet",1,1,248,,,,,1,1,1,1,1
151,GSP-BI_20.6.,GSP-BI,20.6.,E,rp,144,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,31,,,,missed,1,62,7,8,,,,,1,56,,,,,dead22,PresAlive22,wfm,1,0,0,,,,,new lvs,aml,1,0,8,15,,,,,1,120,,0,,,,m25,1,0,0,,,,,1,1,1,1,1
152,GSP-LI_20.4.,GSP-LI,20.4.,N,rh,305,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,9,,,,missed,1,90,7,7,,,,,1,49,0,,,,,new lvs,nzk,1,0,7,12,,,,,aml,1,84,,,,,disc,,,,,,,,,,,,,,,,,1,1,1,1,
153,IA_20.4a.,IA,20.4a.,18,gp,9,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11,,,,missed,1,33,0,,,,,new lvs,1,0,7,10,,,,,nzk,1,70,3,10,,,,,nzk,1,30,7,22,,,,ngr,1,154,,4,38,,,,1,1,152,,,,,1,1,1,1,1
154,IA_20.9.,IA,20.9.,19,od,34,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,,,,missed,1,91,6,19,,,,,1,114,2,7,,,,,nzk,1,14,0,,,,,new lvs,nzk,1,0,,,,,dead24,,0,,dead24,0,,,,,,,0,,,,,1,1,1,1,0
155,ME_20.1.,ME,20.1.,1,op,0,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,40,,,,missed,1,120,0,,,,ME in genl qs y=0-25,new lvs,1,0,0,,,,ME in genl qs y=0-25,sen,nzk,1,0,7,59,,,,,nzk,1,413,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,
156,ME_20.3.,ME,20.3.,1,bp,31,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,14,,,,new,1,112,0,,,,,new lvs,1,0,3,23,,,,,nzk,1,69,7,43,,,,,nzk,1,301,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,
157,ME_20.6.,ME,20.6.,3,od,32,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,18,,,,missed,1,126,0,,,,,new lvs,1,0,1,13,,,,,hlc,1,13,7,33,,,,,nzk,1,231,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,
