"Plot Title: 20376492"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376492, SEN S/N: 20376492)","Good Battery (LGR S/N: 20376492)","Coupler Detached (LGR S/N: 20376492)","Coupler Attached (LGR S/N: 20376492)","Host Connected (LGR S/N: 20376492)","Stopped (LGR S/N: 20376492)","End Of File (LGR S/N: 20376492)"
112,06/22/21 02:30:12 AM,23.966,,,,,,
113,06/22/21 04:30:12 AM,23.677,,,,,,
114,06/22/21 06:30:12 AM,23.484,,,,,,
115,06/22/21 08:30:12 AM,23.581,,,,,,
116,06/22/21 10:30:12 AM,23.773,,,,,,
117,06/22/21 12:30:12 PM,24.158,,,,,,
118,06/22/21 02:30:12 PM,25.319,,,,,,
119,06/22/21 04:30:12 PM,25.125,,,,,,
120,06/22/21 06:30:12 PM,24.158,,,,,,
121,06/22/21 08:30:12 PM,23.581,,,,,,
122,06/22/21 10:30:12 PM,22.908,,,,,,
123,06/23/21 12:30:12 AM,22.429,,,,,,
124,06/23/21 02:30:12 AM,22.046,,,,,,
125,06/23/21 04:30:12 AM,21.760,,,,,,
126,06/23/21 06:30:12 AM,21.473,,,,,,
127,06/23/21 08:30:12 AM,21.473,,,,,,
128,06/23/21 10:30:12 AM,21.951,,,,,,
129,06/23/21 12:30:12 PM,22.621,,,,,,
130,06/23/21 02:30:12 PM,25.125,,,,,,
131,06/23/21 04:30:12 PM,24.738,,,,,,
132,06/23/21 06:30:12 PM,24.062,,,,,,
133,06/23/21 08:30:12 PM,23.196,,,,,,
134,06/23/21 10:30:12 PM,22.333,,,,,,
135,06/24/21 12:30:12 AM,21.664,,,,,,
136,06/24/21 02:30:12 AM,21.187,,,,,,
137,06/24/21 04:30:12 AM,20.710,,,,,,
138,06/24/21 06:30:12 AM,20.424,,,,,,
139,06/24/21 08:30:12 AM,20.424,,,,,,
140,06/24/21 10:30:12 AM,20.901,,,,,,
141,06/24/21 12:30:12 PM,21.473,,,,,,
142,06/24/21 02:30:12 PM,25.708,,,,,,
143,06/24/21 04:30:12 PM,24.931,,,,,,
144,06/24/21 06:30:12 PM,24.062,,,,,,
145,06/24/21 08:30:12 PM,22.717,,,,,,
146,06/24/21 10:30:12 PM,21.760,,,,,,
147,06/25/21 12:30:12 AM,21.091,,,,,,
148,06/25/21 02:30:12 AM,20.615,,,,,,
149,06/25/21 04:30:12 AM,20.424,,,,,,
150,06/25/21 06:30:12 AM,20.424,,,,,,
151,06/25/21 08:30:12 AM,20.615,,,,,,
152,06/25/21 10:30:12 AM,20.805,,,,,,
153,06/25/21 12:30:12 PM,21.282,,,,,,
154,06/25/21 02:30:12 PM,22.429,,,,,,
155,06/25/21 04:30:12 PM,23.004,,,,,,
